URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_Provenance_Activity_Type_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_Provenance_Activity_Type_German,Typisierung Freigabe German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für Typisierung Freigabe German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_QuantityComparator_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_QuantityComparator_German,QuantityComparator German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für QuantityComparator German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_RequestPriority_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_RequestPriority_German,Request priority German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für Request priority German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_Secondary_Status,1.0.0-update,draft,,KBV_CS_MIO_LAB_Secondary_Status,KBV_CS_MIO_LAB_Secondary_Status,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für KBV_CS_MIO_LAB_Secondary_Status.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_SexParameterForClinicalUse_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_SexParameterForClinicalUse_German,Sex Parameter for Clinical Use German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für Sex Parameter for Clinical Use German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_SpecimenProcessingProcedure_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_SpecimenProcessingProcedure_German,Specimen processing procedure German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für Specimen processing procedure German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_SpecimenStatus_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_SpecimenStatus_German,SpecimenStatus German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für SpecimenStatus German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_Specimen_Condition_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_Specimen_Condition_German,Zustand Probe German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für Zustand Probe German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_Test_Profil_Laboruntersuchungsgruppe,1.0.0-update,draft,,KBV_CS_MIO_LAB_Test_Profil_Laboruntersuchungsgruppe,KBV_CS_MIO_LAB_Test_Profil_Laboruntersuchungsgruppe,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für KBV_CS_MIO_LAB_Test_Profil_Laboruntersuchungsgruppe.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_Type_Diagram_German,1.0.0-update,draft,,KBV_CS_MIO_LAB_Type_Diagram_German,Typisierung Messdiagramm German,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für Typisierung Messdiagramm German.",
https://fhir.kbv.de/CodeSystem/KBV_CS_MIO_LAB_mio42,1.0.0-update,draft,,KBV_CS_MIO_LAB_mio42,KBV_CS_MIO_LAB_mio42,"Dieses Codesystem enthält die Codes für deutsche Bezeichner für KBV_CS_MIO_LAB_mio42.",
